,Time,seconds,day,year,month
439,2022-03-23 15:45:00,196.277,82,2022,3
440,2022-03-23 15:46:00,18.234,82,2022,3
441,2022-03-23 15:47:00,66.178,82,2022,3
442,2022-03-23 15:49:00,140.109,82,2022,3
443,2022-03-23 15:51:00,94.458,82,2022,3
444,2022-03-23 15:52:00,48.018,82,2022,3
445,2022-03-23 16:01:00,575.542,82,2022,3
446,2022-03-23 16:05:00,224.0,82,2022,3
447,2022-03-23 16:09:00,255.0,82,2022,3
448,2022-03-23 16:12:00,154.49,82,2022,3
449,2022-03-23 16:13:00,61.847,82,2022,3
450,2022-03-23 16:27:00,252.724,82,2022,3
451,2022-03-23 17:58:00,2.16,82,2022,3
452,2022-03-23 18:00:00,132.144,82,2022,3
453,2022-03-23 18:03:00,167.322,82,2022,3
454,2022-03-23 18:05:00,109.346,82,2022,3
455,2022-03-23 18:10:00,271.301,82,2022,3
457,2022-03-23 18:11:00,17.848,82,2022,3
456,2022-03-23 18:11:00,88.023,82,2022,3
458,2022-03-23 18:23:00,243.49,82,2022,3
459,2022-03-23 18:25:00,131.24,82,2022,3
460,2022-03-23 18:29:00,252.733,82,2022,3
461,2022-03-23 18:32:00,2.769,82,2022,3
462,2022-03-23 18:32:00,1.12,82,2022,3
463,2022-03-23 18:32:00,2.151,82,2022,3
464,2022-03-23 18:32:00,145.083,82,2022,3
465,2022-03-23 18:35:00,186.813,82,2022,3
466,2022-03-23 18:39:00,216.471,82,2022,3
467,2022-03-23 18:43:00,231.013,82,2022,3
468,2022-03-23 18:47:00,275.28,82,2022,3
469,2022-03-23 18:51:00,221.506,82,2022,3
470,2022-03-23 18:55:00,219.333,82,2022,3
471,2022-03-23 18:58:00,220.306,82,2022,3
472,2022-03-23 19:02:00,208.373,82,2022,3
474,2022-03-23 19:05:00,3.471,82,2022,3
475,2022-03-23 19:05:00,3.632,82,2022,3
473,2022-03-23 19:05:00,182.082,82,2022,3
476,2022-03-23 19:08:00,188.013,82,2022,3
477,2022-03-23 19:09:00,61.321,82,2022,3
478,2022-03-23 19:13:00,208.12,82,2022,3
479,2022-03-23 19:16:00,223.346,82,2022,3
480,2022-03-23 19:19:00,192.56,82,2022,3
481,2022-03-23 19:23:00,224.653,82,2022,3
482,2022-03-23 19:25:00,110.578,82,2022,3
483,2022-03-23 19:29:00,260.773,82,2022,3
485,2022-03-23 19:31:00,7.586,82,2022,3
484,2022-03-23 19:31:00,70.414,82,2022,3
486,2022-03-23 19:41:00,1.644,82,2022,3
487,2022-03-24 02:15:00,231.893,83,2022,3
488,2022-03-24 02:17:00,89.058,83,2022,3
489,2022-03-24 02:19:00,0.0,83,2022,3
490,2022-03-24 02:19:00,130.205,83,2022,3
491,2022-03-24 02:24:00,276.201,83,2022,3
492,2022-03-24 02:27:00,210.42,83,2022,3
494,2022-03-24 02:28:00,4.937,83,2022,3
495,2022-03-24 02:28:00,26.092,83,2022,3
493,2022-03-24 02:28:00,3.329,83,2022,3
496,2022-03-24 02:31:00,202.546,83,2022,3
497,2022-03-24 02:34:00,147.452,83,2022,3
498,2022-03-24 02:34:00,7.902,83,2022,3
499,2022-03-24 02:38:00,250.6,83,2022,3
500,2022-03-24 02:41:00,168.601,83,2022,3
501,2022-03-24 02:44:00,10.816,83,2022,3
502,2022-03-24 02:47:00,190.185,83,2022,3
503,2022-03-24 02:51:00,263.373,83,2022,3
504,2022-03-24 02:55:00,235.223,83,2022,3
505,2022-03-24 02:56:00,35.357,83,2022,3
506,2022-03-24 03:00:00,231.013,83,2022,3
507,2022-03-24 03:03:00,206.929,83,2022,3
508,2022-03-24 03:05:00,97.668,83,2022,3
509,2022-03-24 03:09:00,260.253,83,2022,3
510,2022-03-24 03:12:00,169.076,83,2022,3
511,2022-03-24 03:15:00,207.333,83,2022,3
512,2022-03-24 03:19:00,201.24,83,2022,3
513,2022-03-24 03:23:00,241.693,83,2022,3
514,2022-03-24 03:27:00,245.493,83,2022,3
515,2022-03-24 03:32:00,283.733,83,2022,3
516,2022-03-24 03:36:00,250.173,83,2022,3
517,2022-03-24 03:40:00,251.466,83,2022,3
518,2022-03-24 03:43:00,193.058,83,2022,3
519,2022-03-24 03:47:00,226.58,83,2022,3
520,2022-03-24 03:50:00,202.496,83,2022,3
521,2022-03-24 03:54:00,195.706,83,2022,3
522,2022-03-24 03:58:00,233.712,83,2022,3
523,2022-03-24 04:01:00,234.308,83,2022,3
524,2022-03-24 04:06:00,245.866,83,2022,3
525,2022-03-24 04:10:00,247.426,83,2022,3
526,2022-03-24 04:13:00,227.266,83,2022,3
527,2022-03-24 04:26:00,68.923,83,2022,3
528,2022-03-24 14:20:00,292.287,83,2022,3
529,2022-03-24 16:04:00,50.406,83,2022,3
530,2022-03-24 16:04:00,196.277,83,2022,3
531,2022-03-24 16:08:00,196.277,83,2022,3
538,2022-03-24 16:11:00,1.219,83,2022,3
537,2022-03-24 16:11:00,1.15,83,2022,3
536,2022-03-24 16:11:00,1.605,83,2022,3
535,2022-03-24 16:11:00,193.153,83,2022,3
