,endTime,date_time,time_difference,days,month
167,6/8/2022 19:35,2022-06-08 19:35:00,0 days 00:06:00,8.0,6.0
168,6/8/2022 19:37,2022-06-08 19:37:00,0 days 00:02:00,8.0,6.0
169,6/8/2022 19:39,2022-06-08 19:39:00,0 days 00:02:00,8.0,6.0
170,6/8/2022 19:43,2022-06-08 19:43:00,0 days 00:04:00,8.0,6.0
171,6/8/2022 19:47,2022-06-08 19:47:00,0 days 00:04:00,8.0,6.0
172,6/8/2022 19:51,2022-06-08 19:51:00,0 days 00:04:00,8.0,6.0
173,6/8/2022 19:54,2022-06-08 19:54:00,0 days 00:03:00,8.0,6.0
174,6/8/2022 19:58,2022-06-08 19:58:00,0 days 00:04:00,8.0,6.0
175,6/8/2022 20:03,2022-06-08 20:03:00,0 days 00:05:00,8.0,6.0
176,6/8/2022 20:07,2022-06-08 20:07:00,0 days 00:04:00,8.0,6.0
177,6/8/2022 20:13,2022-06-08 20:13:00,0 days 00:06:00,8.0,6.0
178,6/8/2022 20:24,2022-06-08 20:24:00,0 days 00:11:00,8.0,6.0
179,6/9/2022 6:42,2022-06-09 06:42:00,0 days 10:18:00,9.0,6.0
180,6/9/2022 6:43,2022-06-09 06:43:00,0 days 00:01:00,9.0,6.0
181,6/9/2022 6:47,2022-06-09 06:47:00,0 days 00:04:00,9.0,6.0
182,6/9/2022 6:47,2022-06-09 06:47:00,0 days 00:00:00,9.0,6.0
183,6/9/2022 6:47,2022-06-09 06:47:00,0 days 00:00:00,9.0,6.0
184,6/9/2022 6:47,2022-06-09 06:47:00,0 days 00:00:00,9.0,6.0
185,6/9/2022 6:48,2022-06-09 06:48:00,0 days 00:01:00,9.0,6.0
186,6/9/2022 6:48,2022-06-09 06:48:00,0 days 00:00:00,9.0,6.0
187,6/9/2022 6:48,2022-06-09 06:48:00,0 days 00:00:00,9.0,6.0
188,6/9/2022 6:51,2022-06-09 06:51:00,0 days 00:03:00,9.0,6.0
189,6/9/2022 6:56,2022-06-09 06:56:00,0 days 00:05:00,9.0,6.0
190,6/9/2022 6:56,2022-06-09 06:56:00,0 days 00:00:00,9.0,6.0
191,6/9/2022 7:00,2022-06-09 07:00:00,0 days 00:04:00,9.0,6.0
192,6/9/2022 7:00,2022-06-09 07:00:00,0 days 00:00:00,9.0,6.0
193,6/9/2022 7:01,2022-06-09 07:01:00,0 days 00:01:00,9.0,6.0
194,6/9/2022 7:05,2022-06-09 07:05:00,0 days 00:04:00,9.0,6.0
195,6/9/2022 7:05,2022-06-09 07:05:00,0 days 00:00:00,9.0,6.0
196,6/9/2022 7:05,2022-06-09 07:05:00,0 days 00:00:00,9.0,6.0
197,6/9/2022 7:11,2022-06-09 07:11:00,0 days 00:06:00,9.0,6.0
